"Date","Price","Open","High","Low","Vol.","Change %"
"08/17/2016","160.44","160.97","161.16","159.84","3.23M","-0.16%"
"08/16/2016","160.70","161.11","161.93","160.69","2.21M","-0.73%"
"08/15/2016","161.88","162.40","162.97","161.78","2.97M","-0.04%"
"08/12/2016","161.95","163.19","163.46","161.52","2.54M","-0.97%"
"08/11/2016","163.53","162.25","164.95","162.18","8.77M","0.89%"
"08/10/2016","162.08","162.19","162.66","161.96","2.47M","0.19%"
"08/09/2016","161.77","162.22","162.77","161.65","2.74M","-0.17%"
"08/08/2016","162.04","162.73","163.27","161.58","3.04M","-0.89%"
"08/05/2016","163.50","162.00","163.51","161.57","3.81M","1.21%"
"08/04/2016","161.55","160.86","161.70","160.12","2.49M","0.55%"
"08/03/2016","160.67","160.13","160.86","159.80","2.86M","0.06%"
"08/02/2016","160.58","161.27","161.45","160.36","3.08M","-0.54%"
"08/01/2016","161.45","160.65","161.65","159.84","2.82M","0.52%"
"07/29/2016","160.62","161.36","161.67","160.03","3.55M","-0.46%"
"07/28/2016","161.37","161.38","161.81","160.71","2.34M","-0.28%"
"07/27/2016","161.83","162.12","162.57","161.18","2.16M","-0.18%"
"07/26/2016","162.12","162.65","163.60","161.37","2.89M","-0.33%"
